idx	name	cid	n_inputs	n_library_spectra	n_raw_matches	n_unique_mri	folder	mode_used	domainmasst_status
216	Methyl_2methylbutyrate	13357	1	12.0	11452.0	11452.0	0216_Methyl_2methylbutyrate_a85a9b25fa	fasstrecords	done
1174	Isobutyl_Acetate	8038	1	10.0	11452.0	11452.0	1174_Isobutyl_Acetate_3c55cf5b66	fasstrecords	done
1213	Taurocholic_Acid	6675	1	178.0	11093.0	11084.0	1213_Taurocholic_Acid_1b34d1b76a	fasstrecords	done
869	Sodium_Taurocholate	23666345	1	178.0	11093.0	11084.0	0869_Sodium_Taurocholate_1b34d1b76a	fasstrecords	done
931	Glyceryl_Monooleate	5283468	1	33.0	10760.0	10758.0	0931_Glyceryl_Monooleate_7519a8a075	fasstrecords	done
858	Sodium_Ferulate	23669636	1	881.0	9995.0	9974.0	0858_Sodium_Ferulate_25f8cd05ad	fasstrecords	done
1265	Lauric_acid_diethanolamide	8430	1	25.0	9238.0	9231.0	1265_Lauric_acid_diethanolamide_e77febfcb7	fasstrecords	done
713	Ethylenediaminetetraacetic_acid_disodium_salt	13020083	1	55.0	9162.0	9162.0	0713_Ethylenediaminetetraacetic_acid_disodium_salt_6bfd1c3c84	fasstrecords	done
651	Edetate_Sodium	6144	1	55.0	9162.0	9162.0	0651_Edetate_Sodium_6bfd1c3c84	fasstrecords	done
717	Disodium_EDTA	9839867	1	55.0	9162.0	9162.0	0717_Disodium_EDTA_6bfd1c3c84	fasstrecords	done
716	EDTA_Na2	9902403	1	55.0	9162.0	9162.0	0716_EDTA_Na2_6bfd1c3c84	fasstrecords	done
715	Ethylenediaminetetraacetic_Acid	6049	1	55.0	9162.0	9162.0	0715_Ethylenediaminetetraacetic_Acid_6bfd1c3c84	fasstrecords	done
714	EDTA_disodium_salt	8759	1	55.0	9162.0	9162.0	0714_EDTA_disodium_salt_6bfd1c3c84	fasstrecords	done
1161	Glycocholic_Acid	10140	1	301.0	8912.0	8906.0	1161_Glycocholic_Acid_873eff9ff1	fasstrecords	done
1308	Maltose	439186	1	158.0	7845.0	7845.0	1308_Maltose_b322b32915	fasstrecords	done
1259	Lactose	440995	1	158.0	7845.0	7845.0	1259_Lactose_e1c7f7268a	fasstrecords	done
1260	betaLactose	6134	1	158.0	7845.0	7845.0	1260_betaLactose_098a8fb36f	fasstrecords	done
1251	Triethyl_Citrate	6506	1	20.0	7787.0	7787.0	1251_Triethyl_Citrate_0a2a355863	fasstrecords	done
498	Dihydroalphaionone	35821	1	4.0	7075.0	7069.0	0498_Dihydroalphaionone_87b521af20	fasstrecords	done
873	LSorbose	439192	1	45.0	6971.0	6968.0	0873_LSorbose_92fb956a3c	fasstrecords	done
1271	DFructose	2723872	1	45.0	6971.0	6968.0	1271_DFructose_32c34ab9ed	fasstrecords	done
1238	Caffeine	2519	1	316.0	6521.0	6520.0	1238_Caffeine_693364cb16	fasstrecords	done
1080	Vitamin_K	5280483	1	72.0	6381.0	6381.0	1080_Vitamin_K_4bf501ea20	fasstrecords	done
861	Ferric_Ammonium_Citrate	118984355	1	475.0	6127.0	6125.0	0861_Ferric_Ammonium_Citrate_2f39aebbda	fasstrecords	done
1198	Ferric_pyrophosphate_soluble	90465822	1	475.0	6127.0	6125.0	1198_Ferric_pyrophosphate_soluble_2f39aebbda	fasstrecords	done
1245	Potassium_Citrate	2735208	1	475.0	6127.0	6125.0	1245_Potassium_Citrate_2f39aebbda	fasstrecords	done
1252	Tricalcium_Citrate	13136	1	475.0	6127.0	6125.0	1252_Tricalcium_Citrate_2f39aebbda	fasstrecords	done
1149	Ferric_citrate	61300	1	475.0	6127.0	6125.0	1149_Ferric_citrate_2f39aebbda	fasstrecords	done
1282	Manganese_Citrate	9937209	1	475.0	6127.0	6125.0	1282_Manganese_Citrate_2f39aebbda	fasstrecords	done
1249	Trisodium_citrate	6224	1	475.0	6127.0	6125.0	1249_Trisodium_citrate_2f39aebbda	fasstrecords	done
1250	Citric_Acid	311	1	475.0	6127.0	6125.0	1250_Citric_Acid_2f39aebbda	fasstrecords	done
1156	Ferrous_Citrate	11064683	1	475.0	6127.0	6125.0	1156_Ferrous_Citrate_2f39aebbda	fasstrecords	done
113	Diammonium_Citrate	18171	1	475.0	6127.0	6125.0	0113_Diammonium_Citrate_2f39aebbda	fasstrecords	done
1331	Auryxia	4989393	1	475.0	6127.0	6125.0	1331_Auryxia_2f39aebbda	fasstrecords	done
619	Disodium_Hydrogen_Citrate	8950	1	475.0	6127.0	6125.0	0619_Disodium_Hydrogen_Citrate_2f39aebbda	fasstrecords	done
1333	Ferric_citrate_tetrahydrate	5284396	1	475.0	6127.0	6125.0	1333_Ferric_citrate_tetrahydrate_2f39aebbda	fasstrecords	done
1332	Iron_citrate	9881379	1	475.0	6127.0	6125.0	1332_Iron_citrate_2f39aebbda	fasstrecords	done
474	Dibutyl_Sebacate	7986	1	34.0	5751.0	5747.0	0474_Dibutyl_Sebacate_ddcd93175d	fasstrecords	done
452	9Decenoic_acid	61743	1	125.0	5713.0	5713.0	0452_9Decenoic_acid_923e50610c	fasstrecords	done
825	Rutin	5280805	1	557.0	5491.0	5479.0	0825_Rutin_6c8393a76c	fasstrecords	done
923	Theobromine	5429	1	132.0	5287.0	5287.0	0923_Theobromine_44a2077220	fasstrecords	done
1237	Sorbitol	5780	1	279.0	4812.0	4805.0	1237_Sorbitol_5b40d49901	fasstrecords	done
1170	Mannitol	6251	1	279.0	4812.0	4805.0	1170_Mannitol_3f375bc337	fasstrecords	done
1111	Nopol_	1272250	1	2.0	4765.0	4765.0	1111_Nopol_1dc1447fad	fasstrecords	done
0	Acesulfame_Potassium	11074431	1	54.0	4742.0	4738.0	0000_Acesulfame_Potassium_ebcfec7ca3	fasstrecords	done
425	Cystine	67678	1	333.0	4185.0	4185.0	0425_Cystine_ac19d0e742	fasstrecords	done
424	2Azaniumyl32Azaniumyl2CarboxylatoethylDisulfanylPropanoate	595	1	333.0	4185.0	4185.0	0424_2Azaniumyl32Azaniumyl2CarboxylatoethylDisulfanylPropanoate_ef0da2b3ce	fasstrecords	done
644	Dodecyl_butyrate	245572	1	4.0	4056.0	4053.0	0644_Dodecyl_butyrate_26017a4606	fasstrecords	done
850	Farnesol	445070	1	384.0	4050.0	4048.0	0850_Farnesol_40a5042641	fasstrecords	done
1314	An_inositol	892	1	57.0	3975.0	3975.0	1314_An_inositol_763689f810	fasstrecords	done
1147	DGlucose	5793	1	100.0	3845.0	3842.0	1147_DGlucose_f6c04dba60	fasstrecords	done
919	BetaDGlucose	64689	1	100.0	3845.0	3842.0	0919_BetaDGlucose_33544599f0	fasstrecords	done
932	Monostearin	24699	1	76.0	3790.0	3790.0	0932_Monostearin_5fd2a620cc	fasstrecords	done
465	Nootkatone	1268142	1	174.0	3459.0	3457.0	0465_Nootkatone_9e83cdffb6	fasstrecords	done
1265	Dextrin	62698	1	38.0	3041.0	3041.0	1265_Dextrin_743783e904	fasstrecords	done
1234	Dexpanthenol	131204	1	139.0	3023.0	3023.0	1234_Dexpanthenol_84232dbff3	fasstrecords	done
321	Caryophyllene_oxide	1742210	1	75.0	2837.0	2833.0	0321_Caryophyllene_oxide_803ae9d949	fasstrecords	done
1143	Sodium_carboxymethyl_cellulose	6328154	1	57.0	2758.0	2755.0	1143_Sodium_carboxymethyl_cellulose_31ee44640a	fasstrecords	done
1165	Invert_Sugar	21924868	1	57.0	2758.0	2755.0	1165_Invert_Sugar_43c87bd345	fasstrecords	done
32	NacetylLmethionine	448580	1	102.0	2547.0	2547.0	0032_NacetylLmethionine_00e3fb70e2	fasstrecords	done
984	Hesperidin	10621	1	1070.0	2489.0	2488.0	0984_Hesperidin_8059ec1683	fasstrecords	done
832	Sclareolide	929262	1	157.0	2206.0	2206.0	0832_Sclareolide_d32affeb05	fasstrecords	done
389	BisDgluconatokappaO1kappaO2copper	10692	1	68.0	2185.0	2182.0	0389_BisDgluconatokappaO1kappaO2copper_2a58a9e634	fasstrecords	done
114	Ammonium_gluconate	25203	1	68.0	2185.0	2182.0	0114_Ammonium_gluconate_2a58a9e634	fasstrecords	done
1262	Gluconic_acid_monopotassium_salt	16760467	1	68.0	2185.0	2182.0	1262_Gluconic_acid_monopotassium_salt_2a58a9e634	fasstrecords	done
1281	Manganese_gluconate	22988	1	68.0	2185.0	2182.0	1281_Manganese_gluconate_2a58a9e634	fasstrecords	done
1263	Magnesium_Gluconate	71587201	1	68.0	2185.0	2182.0	1263_Magnesium_Gluconate_2a58a9e634	fasstrecords	done
915	Gluconic_Acid	10690	1	68.0	2185.0	2182.0	0915_Gluconic_Acid_2a58a9e634	fasstrecords	done
1134	Calcium_Gluconate	9290	1	68.0	2185.0	2182.0	1134_Calcium_Gluconate_2a58a9e634	fasstrecords	done
1264	Sodium_Gluconate	23672301	1	68.0	2185.0	2182.0	1264_Sodium_Gluconate_2a58a9e634	fasstrecords	done
1158	Ferrous_Gluconate	23616740	1	68.0	2185.0	2182.0	1158_Ferrous_Gluconate_2a58a9e634	fasstrecords	done
1261	Zinc_Gluconate	443445	1	68.0	2185.0	2182.0	1261_Zinc_Gluconate_2a58a9e634	fasstrecords	done
1257	Propanoic_acid_33thiobis_didodecyl_ester	31250	1	8.0	2149.0	2149.0	1257_Propanoic_acid_33thiobis_didodecyl_ester_33ac6fa61b	fasstrecords	done
372	Citral	638011	1	7.0	2131.0	2129.0	0372_Citral_2da89208d3	fasstrecords	done
1231	Vitamin_D3	5280795	1	16.0	2121.0	2120.0	1231_Vitamin_D3_ba88ae3ae1	fasstrecords	done
636	deltaDodecalactone	12844	1	11.0	1963.0	1963.0	0636_deltaDodecalactone_2b64e17b9f	fasstrecords	done
101	Aluminum_Myristate	61321	1	95.0	1956.0	1956.0	0101_Aluminum_Myristate_6c71b8e3bd	fasstrecords	done
861	Sodium_Myristate	23693095	1	95.0	1956.0	1956.0	0861_Sodium_Myristate_6c71b8e3bd	fasstrecords	done
1300	Magnesium_Myristate	61326	1	95.0	1956.0	1956.0	1300_Magnesium_Myristate_6c71b8e3bd	fasstrecords	done
291	Calcium_Myristate	27178	1	95.0	1956.0	1956.0	0291_Calcium_Myristate_6c71b8e3bd	fasstrecords	done
392	Myristic_Acid	11005	1	95.0	1956.0	1956.0	0392_Myristic_Acid_6c71b8e3bd	fasstrecords	done
712	Potassium_Myristate	23686147	1	95.0	1956.0	1956.0	0712_Potassium_Myristate_6c71b8e3bd	fasstrecords	done
1186	Pyridoxine_Hydrochloride	6019	1	321.0	1843.0	1843.0	1186_Pyridoxine_Hydrochloride_62a0865f49	fasstrecords	done
1185	Pyridoxine	1054	1	321.0	1843.0	1843.0	1185_Pyridoxine_62a0865f49	fasstrecords	done
1085	2S4RPentane12345Pentol	6912	1	208.0	1769.0	1769.0	1085_2S4RPentane12345Pentol_8a147fc157	fasstrecords	done
586	Citronellic_acid	10402	1	2.0	1761.0	1761.0	0586_Citronellic_acid_9581bbec86	fasstrecords	done
1266	Dodecyl_acetate	8205	1	3.0	1736.0	1736.0	1266_Dodecyl_acetate_d333c60fe4	fasstrecords	done
1095	Syringaldehyde	8655	1	789.0	1647.0	1646.0	1095_Syringaldehyde_a743ed3a5d	fasstrecords	done
1216	AlphaTocopherol_Acetate	86472	1	9.0	1474.0	1474.0	1216_AlphaTocopherol_Acetate_b39165ef45	fasstrecords	done
305	Carnitine	10917	1	68.0	1422.0	1422.0	0305_Carnitine_f5ac764be1	fasstrecords	done
1215	Thiamine_Nitrate	10762	1	41.0	1419.0	1419.0	1215_Thiamine_Nitrate_21970e31a3	fasstrecords	done
1214	Thiamine_Hydrochloride	6202	1	41.0	1419.0	1419.0	1214_Thiamine_Hydrochloride_21970e31a3	fasstrecords	done
924	Thiamine	1130	1	41.0	1419.0	1419.0	0924_Thiamine_21970e31a3	fasstrecords	done
1110	Butylated_hydroxymethylphenol	6929	1	3.0	1351.0	1345.0	1110_Butylated_hydroxymethylphenol_d6f378adb9	fasstrecords	done
1077	4Hydroxybenzaldehyde	126	1	73.0	1326.0	1326.0	1077_4Hydroxybenzaldehyde_04d8b67c25	fasstrecords	done
826	Salicylaldehyde	6998	1	1.0	1326.0	1326.0	0826_Salicylaldehyde_53b2af5aa0	fasstrecords	done
921	LGlutamine	5961	1	151.0	1299.0	1299.0	0921_LGlutamine_f4f82f2f96	fasstrecords	done
73	Allyl_caproate	31266	1	6.0	1076.0	1076.0	0073_Allyl_caproate_4702a4f21e	fasstrecords	done
1060	Vanillic_Acid	8468	1	178.0	1074.0	1074.0	1060_Vanillic_Acid_705462eeb6	fasstrecords	done
1104	Riboflavin_5phosphate_sodium_dihydrate	23687712	1	46.0	1069.0	1069.0	1104_Riboflavin_5phosphate_sodium_dihydrate_89ab5670d8	fasstrecords	done
818	Riboflavin_5phosphate_sodium	656596	1	46.0	1069.0	1069.0	0818_Riboflavin_5phosphate_sodium_1808be1680	fasstrecords	done
1188	Flavin_Mononucleotide	643976	1	46.0	1069.0	1069.0	1188_Flavin_Mononucleotide_89ab5670d8	fasstrecords	done
659	epsilonDECALACTONE	62583	1	8.0	1055.0	1055.0	0659_epsilonDECALACTONE_59efd11337	fasstrecords	done
278	Calcium_Ascorbate	54740489	1	456.0	1004.0	1002.0	0278_Calcium_Ascorbate_ba826380b2	fasstrecords	done
1303	LAscorbic_Acid	54670067	1	456.0	1004.0	1002.0	1303_LAscorbic_Acid_ba826380b2	fasstrecords	done
1304	Erythorbic_Acid	54675810	1	456.0	1004.0	1002.0	1304_Erythorbic_Acid_233b5b2502	fasstrecords	done
1154	Ferrous_Ascorbate	86763295	1	456.0	1004.0	1002.0	1154_Ferrous_Ascorbate_ba826380b2	fasstrecords	done
1300	Sodium_Erythorbate	23683938	1	456.0	1004.0	1002.0	1300_Sodium_Erythorbate_233b5b2502	fasstrecords	done
1301	Sodium_Ascorbate	23667548	1	456.0	1004.0	1002.0	1301_Sodium_Ascorbate_ba826380b2	fasstrecords	done
980	Heptyl_heptanoate	69350	1	2.0	997.0	997.0	0980_Heptyl_heptanoate_cab473c27f	fasstrecords	done
203	Methyl_jasmonate	5281929	1	142.0	973.0	973.0	0203_Methyl_jasmonate_a855f6540e	fasstrecords	done
1112	alphaBisabolol_epi	1201551	1	83.0	969.0	967.0	1112_alphaBisabolol_epi_cded893788	fasstrecords	done
1110	alpha4Dimethylalpha4methyl3penten1yl3cyclohexene1methanol	10586	1	83.0	969.0	967.0	1110_alpha4Dimethylalpha4methyl3penten1yl3cyclohexene1methanol_65c23d6749	fasstrecords	done
1111	Levomenol	442343	1	83.0	969.0	967.0	1111_Levomenol_ef641e86ae	fasstrecords	done
1109	Bisabolol	1549992	1	83.0	969.0	967.0	1109_Bisabolol_c8fd8cf775	fasstrecords	done
812	Ethyl_Oleate	5363269	1	1.0	935.0	935.0	0812_Ethyl_Oleate_3f0232c0fd	fasstrecords	done
1236	Biotin	171548	1	393.0	928.0	927.0	1236_Biotin_90c4c0c15e	fasstrecords	done
1069	Homoeriodictyol_sodium	71587782	1	40.0	898.0	898.0	1069_Homoeriodictyol_sodium_890fdf2148	fasstrecords	done
137	Hedione	102861	1	49.0	898.0	898.0	0137_Hedione_f8df6252db	fasstrecords	done
300	DCamphor	159055	1	21.0	852.0	851.0	0300_DCamphor_3357f63d70	fasstrecords	done
630	Camphor	2537	1	21.0	852.0	851.0	0630_Camphor_e24f935bd2	fasstrecords	done
802	Quinine_Bisulfate	11949689	1	647.0	850.0	850.0	0802_Quinine_Bisulfate_3bb60fce1e	fasstrecords	done
803	Quinine_Hydrochloride	91558	1	647.0	850.0	850.0	0803_Quinine_Hydrochloride_3bb60fce1e	fasstrecords	done
804	Quinine_Sulfate	16051948	1	647.0	850.0	850.0	0804_Quinine_Sulfate_3bb60fce1e	fasstrecords	done
460	Decyl_acetate	8167	1	37.0	789.0	789.0	0460_Decyl_acetate_cc56bb0c71	fasstrecords	done
390	Myricitrin	5281673	1	243.0	774.0	774.0	0390_Myricitrin_621902f890	fasstrecords	done
267	Butylphthalide	61361	1	1.0	773.0	773.0	0267_Butylphthalide_6be2ed92ae	fasstrecords	done
831	Sclareol	163263	1	93.0	767.0	767.0	0831_Sclareol_0f869c5d78	fasstrecords	done
762	Cyclohexanecarboxamide_Nethyl5methyl21methylethyl	62907	1	37.0	759.0	759.0	0762_Cyclohexanecarboxamide_Nethyl5methyl21methylethyl_e296d41c54	fasstrecords	done
1253	Pectin	441476	1	51.0	740.0	740.0	1253_Pectin_dc10b0d7a1	fasstrecords	done
153	Aspartame	134601	1	160.0	704.0	704.0	0153_Aspartame_f97bbcfc6a	fasstrecords	done
866	Myrtenal	61130	1	2.0	697.0	697.0	0866_Myrtenal_78c3c54550	fasstrecords	done
867	Myrtenal_A	1201529	1	2.0	697.0	697.0	0867_Myrtenal_A_1337659b5f	fasstrecords	done
409	Nerolidol	5284507	1	5.0	695.0	693.0	0409_Nerolidol_853d6a8471	fasstrecords	done
308	Carveol	7438	1	3.0	677.0	677.0	0308_Carveol_82e96bbd1e	fasstrecords	done
341	Cinnamic_Acid	444539	1	339.0	664.0	664.0	0341_Cinnamic_Acid_781ff6e001	fasstrecords	done
675	BetaPinene	14896	1	16.0	644.0	644.0	0675_BetaPinene_b6dbd4e987	fasstrecords	done
674	alphaPinene	6654	1	10.0	644.0	644.0	0674_alphaPinene_52efc7a5ff	fasstrecords	done
888	Taurine	1123	1	88.0	626.0	626.0	0888_Taurine_223d9fad21	fasstrecords	done
622	Disodium_5inosinate	135414245	1	95.0	625.0	624.0	0622_Disodium_5inosinate_0d499401e8	fasstrecords	done
1323	Monosodium_Glutamate	23689119	1	206.0	603.0	603.0	1323_Monosodium_Glutamate_01412bfed6	fasstrecords	done
1321	LGlutamic_Acid	33032	1	206.0	603.0	603.0	1321_LGlutamic_Acid_01412bfed6	fasstrecords	done
1322	Glutamic_Acid_Hydrochloride	2723891	1	206.0	603.0	603.0	1322_Glutamic_Acid_Hydrochloride_01412bfed6	fasstrecords	done
1324	Monopotassium_glutamate	23695977	1	206.0	603.0	603.0	1324_Monopotassium_glutamate_01412bfed6	fasstrecords	done
285	CID_131881771	131881771	1	206.0	603.0	603.0	0285_CID_131881771_01412bfed6	fasstrecords	done
284	Calcium_glutamate	76964884	1	206.0	603.0	603.0	0284_Calcium_glutamate_01412bfed6	fasstrecords	done
283	Calcium_diglutamate	56841881	1	206.0	603.0	603.0	0283_Calcium_diglutamate_01412bfed6	fasstrecords	done
286	calciumbis2S2aminopentanedioatehydride	139033629	1	206.0	603.0	603.0	0286_calciumbis2S2aminopentanedioatehydride_01412bfed6	fasstrecords	done
1325	Ammonium_glutamate	24802175	1	206.0	603.0	603.0	1325_Ammonium_glutamate_01412bfed6	fasstrecords	done
616	Dipropyl_Adipate	7790	1	3.0	546.0	546.0	0616_Dipropyl_Adipate_1e5a364b6f	fasstrecords	done
254	Butylidenephthalide	5352899	1	4.0	493.0	493.0	0254_Butylidenephthalide_d95dbbb37b	fasstrecords	done
758	Dipropyl_disulfide	12377	1	1.0	459.0	459.0	0758_Dipropyl_disulfide_83ed5fdb7b	fasstrecords	done
1275	1Methyl4Prop1En2Ylcyclohexene	22311	1	16.0	456.0	456.0	1275_1Methyl4Prop1En2Ylcyclohexene_2366461d4b	fasstrecords	done
1276	Limonene_	439250	1	16.0	456.0	456.0	1276_Limonene_f5deacbf33	fasstrecords	done
1274	Limonene	440917	1	16.0	456.0	456.0	1274_Limonene_fee8c90207	fasstrecords	done
1091	6npentyl2Hpyran2one	33960	1	6.0	426.0	426.0	1091_6npentyl2Hpyran2one_55206e7af6	fasstrecords	done
302	Caprolactam	7768	1	16.0	393.0	393.0	0302_Caprolactam_e4dc0eada9	fasstrecords	done
301	Canthaxanthin	5281227	1	10.0	388.0	388.0	0301_Canthaxanthin_0f0873c2f8	fasstrecords	done
68	4Allyl26dimethoxyphenol	226486	1	2.0	387.0	387.0	0068_4Allyl26dimethoxyphenol_6605e01601	fasstrecords	done
670	Ethoxyquin	3293	1	36.0	370.0	370.0	0670_Ethoxyquin_a816274fbc	fasstrecords	done
848	Sodium_Dodecylbenzenesulfonate	23662403	1	1.0	358.0	358.0	0848_Sodium_Dodecylbenzenesulfonate_8ccf87b27b	fasstrecords	done
633	LIsoleucine	6306	1	169.0	357.0	357.0	0633_LIsoleucine_2473e89b5c	fasstrecords	done
632	2Amino3methylpentanoic_acid	791	1	169.0	357.0	357.0	0632_2Amino3methylpentanoic_acid_d741f25d66	fasstrecords	done
1304	Malic_Acid	525	1	460.0	351.0	351.0	1304_Malic_Acid_fe68aee4fb	fasstrecords	done
1309	LMalic_Acid	222656	1	460.0	351.0	351.0	1309_LMalic_Acid_0ccafbf9ae	fasstrecords	done
488	Diethyl_Sebacate	8049	1	3.0	337.0	337.0	0488_Diethyl_Sebacate_5bb578bc67	fasstrecords	done
288	Calcium_Lactobionate	11954336	1	5.0	331.0	331.0	0288_Calcium_Lactobionate_6ca409665f	fasstrecords	done
430	24Decadien1ol_2E4E	5362696	1	130.0	322.0	322.0	0430_24Decadien1ol_2E4E_6986575159	fasstrecords	done
279	Calcium_Benzoate	62425	1	42.0	309.0	309.0	0279_Calcium_Benzoate_fb7121a404	fasstrecords	done
1279	Benzoic_Acid	243	1	42.0	309.0	309.0	1279_Benzoic_Acid_fb7121a404	fasstrecords	done
