scan	spectrum_id	collision_energy	Adduct	Compound_Source	Compound_Name	Precursor_MZ	ExactMass	Charge	Ion_Mode	Smiles	INCHI	InChIKey_smiles	GNPS_library_membership	InChIKey_smiles_firstBlock	matched_pesticide_names	match_method
10951	CCMSLIB00006718059		[M+H]1+		Methamidophos	142.009	141.001336126	1	positive	COP(N)(=O)SC	InChI=1S/C2H8NO2PS/c1-5-6(3,4)7-2/h1-2H3,(H2,3,4)	NNKVPIKMPCQWCG-UHFFFAOYSA-N	GNPS-LIBRARY	NNKVPIKMPCQWCG	Methamidophos	inchikey_firstblock
10953	CCMSLIB00006718061		[M+H]1+		Prometon	226.166	225.158960228	1	positive	COc1nc(NC(C)C)nc(NC(C)C)n1	InChI=1S/C10H19N5O/c1-6(2)11-8-13-9(12-7(3)4)15-10(14-8)16-5/h6-7H,1-5H3,(H2,11,12,13,14,15)	ISEUFVQQFVOBCY-UHFFFAOYSA-N	GNPS-LIBRARY	ISEUFVQQFVOBCY	Prometon	inchikey_firstblock
11029	CCMSLIB00008851478	35.0	[M+H]1+	commercial	Rotenone [M+H]	395.149	394.1416384239999	1	positive	C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1	InChI=1S/C23H22O6/c1-11(2)16-8-14-15(28-16)6-5-12-22(24)21-13-7-18(25-3)19(26-4)9-17(13)27-10-20(21)29-23(12)14/h5-7,9,16,20-21H,1,8,10H2,2-4H3	JUVIOZPCNVVQFO-UHFFFAOYSA-N	GNPS-LIBRARY	JUVIOZPCNVVQFO	Rotenone	inchikey_firstblock
11031	CCMSLIB00008851480	35.0	[M+Na]1+	commercial	Rotenone [M+Na]+	417.131	394.1416384239999	1	positive	C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1	InChI=1S/C23H22O6/c1-11(2)16-8-14-15(28-16)6-5-12-22(24)21-13-7-18(25-3)19(26-4)9-17(13)27-10-20(21)29-23(12)14/h5-7,9,16,20-21H,1,8,10H2,2-4H3	JUVIOZPCNVVQFO-UHFFFAOYSA-N	GNPS-LIBRARY	JUVIOZPCNVVQFO	Rotenone	inchikey_firstblock
13544	CCMSLIB00012052592		[M+H]1+	crude	Cyromazine	167.107	166.09669431999998	1	positive	Nc1nc(N)nc(NC2CC2)n1	InChI=1S/C6H10N6/c7-4-10-5(8)12-6(11-4)9-3-1-2-3/h3H,1-2H2,(H5,7,8,9,10,11,12)	LVQDKIWDGQRHTE-UHFFFAOYSA-N	GNPS-LIBRARY	LVQDKIWDGQRHTE	Cyromazine	inchikey_firstblock
16021	CCMSLIB00000078268	24.0	[M+H]1+	commercial	Thiabendazole	202.043	201.036068224	1	positive	c1ccc2[nH]c(-c3cscn3)nc2c1	InChI=1S/C10H7N3S/c1-2-4-8-7(3-1)12-10(13-8)9-5-14-6-11-9/h1-6H,(H,12,13)	WJCNZQLZVWNLKY-UHFFFAOYSA-N	GNPS-SELLECKCHEM-FDA-PART2	WJCNZQLZVWNLKY	Thiabendazole	inchikey_firstblock
26497	CCMSLIB00000084811	31.0	[M+H]1+	isolated	MLS002207244-01!Thiophanate M23564-05-8	343.055	342.045646928	1	positive	COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC	InChI=1S/C12H14N4O4S2/c1-19-11(17)15-9(21)13-7-5-3-4-6-8(7)14-10(22)16-12(18)20-2/h3-6H,1-2H3,(H2,13,15,17,21)(H2,14,16,18,22)	QGHREAKMXXNCOA-UHFFFAOYSA-N	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	QGHREAKMXXNCOA	Thiophanate-methyl	inchikey_firstblock
26507	CCMSLIB00000084821	28.0	[M+H]1+	isolated	"""MLS000059188-01!2-methyl-N-phenyl-5,6-dihydro-1,4-oxathiine-3-carboxamide5234-68-4"""	236.076	235.066699656	1	positive	CC1=C(C(=O)Nc2ccccc2)SCCO1	InChI=1S/C12H13NO2S/c1-9-11(16-8-7-15-9)12(14)13-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3,(H,13,14)	GYSSRZJIHXQEHQ-UHFFFAOYSA-N	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	GYSSRZJIHXQEHQ	Carboxin	inchikey_firstblock
26748	CCMSLIB00000085129	28.0	[M+H]1+	isolated	MLS001304087-01!Imidacloprid138261-41-3	256.06	255.05230224	1	positive	O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1	InChI=1S/C9H10ClN5O2/c10-8-2-1-7(5-12-8)6-14-4-3-11-9(14)13-15(16)17/h1-2,5H,3-4,6H2,(H,11,13)	YWTYJOPNNQFBPC-UHFFFAOYSA-N	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	YWTYJOPNNQFBPC	Imidacloprid	inchikey_firstblock
27173	CCMSLIB00000085758	34.0	[M+H]1+	isolated	MLS002207187-01!TEMEPHOS3383-96-8	467.0	465.98972462	1	positive	COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1	InChI=1S/C16H20O6P2S3/c1-17-23(25,18-2)21-13-5-9-15(10-6-13)27-16-11-7-14(8-12-16)22-24(26,19-3)20-4/h5-12H,1-4H3	WWJZWCUNLNYYAU-UHFFFAOYSA-N	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	WWJZWCUNLNYYAU	Temephos	inchikey_firstblock
27308	CCMSLIB00000085896	28.0	[M+H]1+	isolated	MLS002207196-01!Dimethoate60-51-5	230.007	228.999621874	1	positive	CNC(=O)CSP(=S)(OC)OC	InChI=1S/C5H12NO3PS2/c1-6-5(7)4-12-10(11,8-2)9-3/h4H2,1-3H3,(H,6,7)	MCWXGJITAZMZEV-UHFFFAOYSA-N	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	MCWXGJITAZMZEV	Dimethoate	inchikey_firstblock+smiles_exact
27331	CCMSLIB00000085919	27.0	[M+H]1+	isolated	MLS002207242-01!Propoxur114-26-1	210.113	209.10519334	1	positive	CNC(=O)Oc1ccccc1OC(C)C	InChI=1S/C11H15NO3/c1-8(2)14-9-6-4-5-7-10(9)15-11(13)12-3/h4-8H,1-3H3,(H,12,13)	ISRUGXGCCGIOQO-UHFFFAOYSA-N	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	ISRUGXGCCGIOQO	Propoxur	inchikey_firstblock
27388	CCMSLIB00000085978	27.0	[M+H]1+	isolated	MLS000053094-01!THIABENDAZOLE148-79-8	202.043	201.036068224	1	positive	c1ccc2[nH]c(-c3cscn3)nc2c1	InChI=1S/C10H7N3S/c1-2-4-8-7(3-1)12-10(13-8)9-5-14-6-11-9/h1-6H,(H,12,13)	WJCNZQLZVWNLKY-UHFFFAOYSA-N	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	WJCNZQLZVWNLKY	Thiabendazole	inchikey_firstblock
28024	CCMSLIB00001058205	35.0	[M+H]1+	commercial	Pesticide3_3-Hydroxycarbofuran_C12H15NO4_3,7-Benzofurandiol, 2,3-dihydro-2,2-dimethyl-, 7-(methylcarbamate)	238.107	237.10010796	1	positive	CNC(=O)Oc1cccc2c1OC(C)(C)C2O	InChI=1S/C12H15NO4/c1-12(2)10(14)7-5-4-6-8(9(7)17-12)16-11(15)13-3/h4-6,10,14H,1-3H3,(H,13,15)	RHSUJRQZTQNSLL-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	RHSUJRQZTQNSLL	3-Hydroxycarbofuran	inchikey_firstblock
28025	CCMSLIB00001058207	35.0	[M-H2O+H]1+	commercial	Pesticide3_3-Hydroxycarbofuran_C12H15NO4_3,7-Benzofurandiol, 2,3-dihydro-2,2-dimethyl-, 7-(methylcarbamate)	220.096	237.10010796	1	positive	CNC(=O)Oc1cccc2c1OC(C)(C)C2O	InChI=1S/C12H15NO4/c1-12(2)10(14)7-5-4-6-8(9(7)17-12)16-11(15)13-3/h4-6,10,14H,1-3H3,(H,13,15)	RHSUJRQZTQNSLL-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	RHSUJRQZTQNSLL	3-Hydroxycarbofuran	inchikey_firstblock
28026	CCMSLIB00001058209	35.0	[M+H]1+	commercial	Pesticide3_Dioxacarb_C11H13NO4_Phenol, 2-(1,3-dioxolan-2-yl)-, methylcarbamate	224.091	223.084457896	1	positive	CNC(=O)Oc1ccccc1C1OCCO1	InChI=1S/C11H13NO4/c1-12-11(13)16-9-5-3-2-4-8(9)10-14-6-7-15-10/h2-5,10H,6-7H2,1H3,(H,12,13)	SDKQRNRRDYRQKY-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	SDKQRNRRDYRQKY	Dioxacarb	inchikey_firstblock
28027	CCMSLIB00001058211	35.0	[M+H]1+	commercial	Pesticide3_Fenuron_C9H12N2O_Urea, N,N-dimethyl-N'-phenyl-	165.102	164.094963004	1	positive	CN(C)C(=O)Nc1ccccc1	InChI=1S/C9H12N2O/c1-11(2)9(12)10-8-6-4-3-5-7-8/h3-7H,1-2H3,(H,10,12)	XXOYNJXVWVNOOJ-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	XXOYNJXVWVNOOJ	Fenuron	inchikey_firstblock
28028	CCMSLIB00001058213	35.0	[M+NH3+H]1+	commercial	Pesticide3_Fenuron_C9H12N2O_Urea, N,N-dimethyl-N'-phenyl-	182.129	164.094963004	1	positive	CN(C)C(=O)Nc1ccccc1	InChI=1S/C9H12N2O/c1-11(2)9(12)10-8-6-4-3-5-7-8/h3-7H,1-2H3,(H,10,12)	XXOYNJXVWVNOOJ-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	XXOYNJXVWVNOOJ	Fenuron	inchikey_firstblock
28029	CCMSLIB00001058217	35.0	[M+H]1+	commercial	Pesticide3_Propoxur_C11H15NO3_Baygon	210.112	209.10519334	1	positive	CNC(=O)Oc1ccccc1OC(C)C	InChI=1S/C11H15NO3/c1-8(2)14-9-6-4-5-7-10(9)15-11(13)12-3/h4-8H,1-3H3,(H,12,13)	ISRUGXGCCGIOQO-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	ISRUGXGCCGIOQO	Propoxur	inchikey_firstblock
28030	CCMSLIB00001058220	35.0	[M+H]1+	commercial	Pesticide3_Carbofuran_C12H15NO3_Furadan	222.112	221.10519334	1	positive	CNC(=O)Oc1cccc2c1OC(C)(C)C2	InChI=1S/C12H15NO3/c1-12(2)7-8-5-4-6-9(10(8)16-12)15-11(14)13-3/h4-6H,7H2,1-3H3,(H,13,14)	DUEPRVBVGDRKAG-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	DUEPRVBVGDRKAG	Carbofuran	inchikey_firstblock
28031	CCMSLIB00001058221	35.0	[M+H]1+	commercial	Pesticide3_Pirimicarb_C11H18N4O2_2-(Dimethylamino)-5,6-dimethyl-4-pyrimidinyl dimethylcarbamate	239.15	238.142975816	1	positive	Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C	InChI=1S/C11H18N4O2/c1-7-8(2)12-10(14(3)4)13-9(7)17-11(16)15(5)6/h1-6H3	YFGYUFNIOHWBOB-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	YFGYUFNIOHWBOB	Pirimicarb	inchikey_firstblock
28032	CCMSLIB00001058223	35.0	[M+H]1+	commercial	Pesticide3_Fluometuron_C10H11F3N2O_Urea, N,N-dimethyl-N'-[3-(trifluoromethyl)phenyl]-	233.089	232.082347632	1	positive	CN(C)C(=O)Nc1cccc(C(F)(F)F)c1	InChI=1S/C10H11F3N2O/c1-15(2)9(16)14-8-5-3-4-7(6-8)10(11,12)13/h3-6H,1-2H3,(H,14,16)	RZILCCPWPBTYDO-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	RZILCCPWPBTYDO	Fluometuron	inchikey_firstblock
28033	CCMSLIB00001058225	35.0	[M+H]1+	commercial	Pesticide3_Isoprocarb_C11H15NO2_2-Isopropylphenyl methylcarbamate	194.117	193.11027872	1	positive	CNC(=O)Oc1ccccc1C(C)C	InChI=1S/C11H15NO2/c1-8(2)9-6-4-5-7-10(9)14-11(13)12-3/h4-8H,1-3H3,(H,12,13)	QBSJMKIUCUGGNG-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	QBSJMKIUCUGGNG	Isoprocarb	inchikey_firstblock
28034	CCMSLIB00001058227	35.0	[M+H]1+	commercial	Pesticide3_Monolinuron_C9H11ClN2O2_Urea, N'-(4-chlorophenyl)-N-methoxy-N-methyl-	215.058	214.050905272	1	positive	CON(C)C(=O)Nc1ccc(Cl)cc1	InChI=1S/C9H11ClN2O2/c1-12(14-2)9(13)11-8-5-3-7(10)4-6-8/h3-6H,1-2H3,(H,11,13)	LKJPSUCKSLORMF-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	LKJPSUCKSLORMF	Monolinuron	inchikey_firstblock
28035	CCMSLIB00001058229	35.0	[M+H]1+	commercial	Pesticide3_Forchlorfenuron_C12H10ClN3O_Urea, N-(2-chloro-4-pyridinyl)-N'-phenyl-	248.058	247.05123962	1	positive	O=C(Nc1ccccc1)Nc1ccnc(Cl)c1	InChI=1S/C12H10ClN3O/c13-11-8-10(6-7-14-11)16-12(17)15-9-4-2-1-3-5-9/h1-8H,(H2,14,15,16,17)	GPXLRLUVLMHHIK-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	GPXLRLUVLMHHIK	Forchlorfenuron	inchikey_firstblock
28036	CCMSLIB00001058231	35.0	[M+H]1+	commercial	Pesticide3_Metobromuron_C9H11BrN2O2_Urea, N'-(4-bromophenyl)-N-methoxy-N-methyl-	259.007	258.000389692	1	positive	CON(C)C(=O)Nc1ccc(Br)cc1	InChI=1S/C9H11BrN2O2/c1-12(14-2)9(13)11-8-5-3-7(10)4-6-8/h3-6H,1-2H3,(H,11,13)	WLFDQEVORAMCIM-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	WLFDQEVORAMCIM	Metobromuron	inchikey_firstblock
28037	CCMSLIB00001058234	35.0	[M+H]1+	commercial	Pesticide3_Chlorotoluron_C10H13ClN2O_Urea, N'-(3-chloro-4-methylphenyl)-N,N-dimethyl-	213.079	212.071640716	1	positive	Cc1ccc(NC(=O)N(C)C)cc1Cl	InChI=1S/C10H13ClN2O/c1-7-4-5-8(6-9(7)11)12-10(14)13(2)3/h4-6H,1-3H3,(H,12,14)	JXCGFZXSOMJFOA-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	JXCGFZXSOMJFOA	Chlortoluron	inchikey_firstblock
28038	CCMSLIB00001058236	35.0	[M+H]1+	commercial	Pesticide3_Isoproturon_C12H18N2O_Arelon	207.149	206.141913196	1	positive	CC(C)c1ccc(NC(=O)N(C)C)cc1	InChI=1S/C12H18N2O/c1-9(2)10-5-7-11(8-6-10)13-12(15)14(3)4/h5-9H,1-4H3,(H,13,15)	PUIYMUZLKQOUOZ-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	PUIYMUZLKQOUOZ	Isoproturon	inchikey_firstblock
28039	CCMSLIB00001058239	35.0	[M+H]1+	commercial	Pesticide3_Fenobucarb_C12H17NO2_Bassa	208.133	207.125928784	1	positive	CCC(C)c1ccccc1OC(=O)NC	InChI=1S/C12H17NO2/c1-4-9(2)10-7-5-6-8-11(10)15-12(14)13-3/h5-9H,4H2,1-3H3,(H,13,14)	DIRFUJHNVNOBMY-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	DIRFUJHNVNOBMY	Fenobucarb	inchikey_firstblock
28040	CCMSLIB00001058243	35.0	[M+H]1+	commercial	Pesticide3_Diuron_C9H10Cl2N2O_3-(3,4-Dichlorophenyl)-1,1-dimethylurea	233.024	232.0170183	1	positive	CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1	InChI=1S/C9H10Cl2N2O/c1-13(2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)	XMTQQYYKAHVGBJ-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	XMTQQYYKAHVGBJ	Diuron	inchikey_firstblock
28041	CCMSLIB00001058249	35.0	[M+H]1+	commercial	Pesticide3_Diethofencarb_C14H21NO4_Powmil	268.154	267.147058152	1	positive	CCOc1ccc(NC(=O)OC(C)C)cc1OCC	InChI=1S/C14H21NO4/c1-5-17-12-8-7-11(9-13(12)18-6-2)15-14(16)19-10(3)4/h7-10H,5-6H2,1-4H3,(H,15,16)	LNJNFVJKDJYTEU-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	LNJNFVJKDJYTEU	Diethofencarb	inchikey_firstblock
28042	CCMSLIB00001058252	35.0	[M+H]1+	commercial	Pesticide3_Cycluron_C11H22N2O_3-Cyclooctyl-1,1-dimethylurea	199.18	198.173213324	1	positive	CN(C)C(=O)NC1CCCCCCC1	InChI=1S/C11H22N2O/c1-13(2)11(14)12-10-8-6-4-3-5-7-9-10/h10H,3-9H2,1-2H3,(H,12,14)	DQZCVNGCTZLGAQ-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	DQZCVNGCTZLGAQ	Cycluron	inchikey_firstblock+smiles_exact
28043	CCMSLIB00001058258	35.0	[M+H]1+	commercial	Pesticide3_Linuron_C9H10Cl2N2O2_Urea, N'-(3,4-dichlorophenyl)-N-methoxy-N-methyl-	249.019	248.01193292	1	positive	CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1	InChI=1S/C9H10Cl2N2O2/c1-13(15-2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)	XKJMBINCVNINCA-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	XKJMBINCVNINCA	Linuron	inchikey_firstblock
28044	CCMSLIB00001058261	35.0	[M+H]1+	commercial	Pesticide3_Iprovalicarb Isomer 1*_C18H28N2O3_Isopropyl [(2S)-3-methyl-1-{[1-(4-methylphenyl)ethyl]amino}-1-oxo-2-butanyl]carbamate	321.217	320.209992756	1	positive	Cc1ccc(C(C)NC(=O)C(NC(=O)OC(C)C)C(C)C)cc1	InChI=1S/C18H28N2O3/c1-11(2)16(20-18(22)23-12(3)4)17(21)19-14(6)15-9-7-13(5)8-10-15/h7-12,14,16H,1-6H3,(H,19,21)(H,20,22)	NWUWYYSKZYIQAE-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	NWUWYYSKZYIQAE	Iprovalicarb	inchikey_firstblock
28045	CCMSLIB00001058263	35.0	[M+Na]1+	commercial	Pesticide3_Iprovalicarb Isomer 1*_C18H28N2O3_Isopropyl [(2S)-3-methyl-1-{[1-(4-methylphenyl)ethyl]amino}-1-oxo-2-butanyl]carbamate	343.199	320.209992756	1	positive	Cc1ccc(C(C)NC(=O)C(NC(=O)OC(C)C)C(C)C)cc1	InChI=1S/C18H28N2O3/c1-11(2)16(20-18(22)23-12(3)4)17(21)19-14(6)15-9-7-13(5)8-10-15/h7-12,14,16H,1-6H3,(H,19,21)(H,20,22)	NWUWYYSKZYIQAE-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	NWUWYYSKZYIQAE	Iprovalicarb	inchikey_firstblock
28046	CCMSLIB00001058266	35.0	[M+H]1+	commercial	Pesticide3_Bifenazate_C17H20N2O3_1-Methylethyl 2-(4-methoxybiphenyl-3-yl)hydrazinecarboxylate	301.154	300.1473925	1	positive	COc1ccc(-c2ccccc2)cc1NNC(=O)OC(C)C	InChI=1S/C17H20N2O3/c1-12(2)22-17(20)19-18-15-11-14(9-10-16(15)21-3)13-7-5-4-6-8-13/h4-12,18H,1-3H3,(H,19,20)	VHLKTXFWDRXILV-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	VHLKTXFWDRXILV	Bifenazate	inchikey_firstblock
28047	CCMSLIB00001058270	35.0	[M+Na]1+	commercial	Pesticide3_Bifenazate_C17H20N2O3_1-Methylethyl 2-(4-methoxybiphenyl-3-yl)hydrazinecarboxylate	323.136	300.1473925	1	positive	COc1ccc(-c2ccccc2)cc1NNC(=O)OC(C)C	InChI=1S/C17H20N2O3/c1-12(2)22-17(20)19-18-15-11-14(9-10-16(15)21-3)13-7-5-4-6-8-13/h4-12,18H,1-3H3,(H,19,20)	VHLKTXFWDRXILV-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	VHLKTXFWDRXILV	Bifenazate	inchikey_firstblock
28048	CCMSLIB00001058273	35.0	[M+H]1+	commercial	Pesticide3_Chloroxuron_C15H15ClN2O2_Urea, N'-[4-(4-chlorophenoxy)phenyl]-N,N-dimethyl-	291.089	290.0822054	1	positive	CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1	InChI=1S/C15H15ClN2O2/c1-18(2)15(19)17-12-5-9-14(10-6-12)20-13-7-3-11(16)4-8-13/h3-10H,1-2H3,(H,17,19)	IVUXTESCPZUGJC-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	IVUXTESCPZUGJC	Chloroxuron	inchikey_firstblock
28049	CCMSLIB00001058275	35.0	[M+H]1+	commercial	Pesticide3_Fenoxycarb_C17H19NO4_[2-(4-Phenoxyphenoxy)ethyl]carbamic acid ethyl ester	302.138	301.131408088	1	positive	CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1	InChI=1S/C17H19NO4/c1-2-20-17(19)18-12-13-21-14-8-10-16(11-9-14)22-15-6-4-3-5-7-15/h3-11H,2,12-13H2,1H3,(H,18,19)	HJUFTIJOISQSKQ-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	HJUFTIJOISQSKQ	Fenoxycarb	inchikey_firstblock
28050	CCMSLIB00001058279	35.0	[M+H]1+	commercial	Pesticide3_Neburon_C12H16Cl2N2O_Urea, N-butyl-N'-(3,4-dichlorophenyl)-N-methyl-	275.071	274.063968492	1	positive	CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1	InChI=1S/C12H16Cl2N2O/c1-3-4-7-16(2)12(17)15-9-5-6-10(13)11(14)8-9/h5-6,8H,3-4,7H2,1-2H3,(H,15,17)	CCGPUGMWYLICGL-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	CCGPUGMWYLICGL	Neburon	inchikey_firstblock
28051	CCMSLIB00001058281	35.0	[M+H]1+	commercial	Pesticide3_Pyraclostrobin_C19H18ClN3O4_Methyl [2-({[1-(4-chlorophenyl)-1H-pyrazol-3-yl]oxy}methyl)phenyl]methoxycarbamate	388.106	387.098583736	1	positive	COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1	InChI=1S/C19H18ClN3O4/c1-25-19(24)23(26-2)17-6-4-3-5-14(17)13-27-18-11-12-22(21-18)16-9-7-15(20)8-10-16/h3-12H,13H2,1-2H3	HZRSNVGNWUDEFX-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	HZRSNVGNWUDEFX	Pyraclostrobin	inchikey_firstblock
28052	CCMSLIB00001058284	35.0	[M+H]1+		Pesticide10_Carbendazim_C9H9N3O2_mecarzole	192.076	191.069476528	1	positive	COC(=O)Nc1nc2ccccc2[nH]1	InChI=1S/C9H9N3O2/c1-14-9(13)12-8-10-6-4-2-3-5-7(6)11-8/h2-5H,1H3,(H2,10,11,12,13)	TWFZGCMQGLPBSX-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	TWFZGCMQGLPBSX	Carbendazim	inchikey_firstblock
28053	CCMSLIB00001058286	35.0	[M+Na]1+	commercial	Pesticide3_Pyraclostrobin_C19H18ClN3O4_Methyl [2-({[1-(4-chlorophenyl)-1H-pyrazol-3-yl]oxy}methyl)phenyl]methoxycarbamate	410.088	387.098583736	1	positive	COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1	InChI=1S/C19H18ClN3O4/c1-25-19(24)23(26-2)17-6-4-3-5-14(17)13-27-18-11-12-22(21-18)16-9-7-15(20)8-10-16/h3-12H,13H2,1-2H3	HZRSNVGNWUDEFX-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	HZRSNVGNWUDEFX	Pyraclostrobin	inchikey_firstblock
28054	CCMSLIB00001058288	35.0	[M+H]1+	commercial	Pesticide2_Aldicarb sulfone_C7H14N2O4S_Propanal, 2-methyl-2-(methylsulfonyl)-, O-[(methylamino)carbonyl]oxime, (1E)-	223.074	222.067427928	1	positive	CNC(=O)ON=CC(C)(C)S(C)(=O)=O	InChI=1S/C7H14N2O4S/c1-7(2,14(4,11)12)5-9-13-6(10)8-3/h5H,1-4H3,(H,8,10)	YRRKLBAKDXSTNC-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	YRRKLBAKDXSTNC	Aldicarb sulfone	inchikey_firstblock
28055	CCMSLIB00001058290	35.0	[M+H]1+	commercial	Pesticide3_Thiobencarb_C12H16ClNOS_S-(4-Chlorobenzyl) diethylcarbamothioate	258.071	257.064112812	1	positive	CCN(CC)C(=O)SCc1ccc(Cl)cc1	InChI=1S/C12H16ClNOS/c1-3-14(4-2)12(15)16-9-10-5-7-11(13)8-6-10/h5-8H,3-4,9H2,1-2H3	QHTQREMOGMZHJV-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	QHTQREMOGMZHJV	Thiobencarb	inchikey_firstblock
28056	CCMSLIB00001058292	35.0	[M+NH3+H]1+	commercial	Pesticide2_Aldicarb sulfone_C7H14N2O4S_Propanal, 2-methyl-2-(methylsulfonyl)-, O-[(methylamino)carbonyl]oxime, (1E)-	240.101	222.067427928	1	positive	CNC(=O)ON=CC(C)(C)S(C)(=O)=O	InChI=1S/C7H14N2O4S/c1-7(2,14(4,11)12)5-9-13-6(10)8-3/h5H,1-4H3,(H,8,10)	YRRKLBAKDXSTNC-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	YRRKLBAKDXSTNC	Aldicarb sulfone	inchikey_firstblock
28057	CCMSLIB00001058294	35.0	[M+H]1+	commercial	Pesticide3_Indoxacarb_C22H17ClF3N3O7_Methyl (4aS)-7-chloro-2-{(methoxycarbonyl)[4-(trifluoromethoxy)phenyl]carbamoyl}-2,5-dihydroindeno[1,2-e][1,3,4]oxadiazine-4a(3H)-carboxylate	528.078	527.070712224	1	positive	COC(=O)N(C(=O)N1COC2(C(=O)OC)Cc3cc(Cl)ccc3C2=N1)c1ccc(OC(F)(F)F)cc1	InChI=1S/C22H17ClF3N3O7/c1-33-18(30)21-10-12-9-13(23)3-8-16(12)17(21)27-28(11-35-21)19(31)29(20(32)34-2)14-4-6-15(7-5-14)36-22(24,25)26/h3-9H,10-11H2,1-2H3	VBCVPMMZEGZULK-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	VBCVPMMZEGZULK	Indoxacarb	inchikey_firstblock
